Giver,Reciver,Interaction Coefficient,Sample,N Open
Beae,Chae,-0.00011983693215296622,My_20,14
Beae,Beae,0.0,My_20,14
Beae,Deae,-0.004069272788955442,My_20,14
Deae,Acer,-0.9778486639192147,My_20,14
Deae,Seum,-0.04916031007803035,My_20,14
Deae,Meus,-0.9948143283855175,My_20,14
Deae,Raer,0.14512277902924528,My_20,14
Deae,Boea,0.8860790013581927,My_20,14
Deae,Hyum,0.06059920833287644,My_20,14
Deae,Meis,0.04971086180962458,My_20,14
Deae,Brla,-0.9962503098713499,My_20,14
Deae,Teas,-0.4976710192100688,My_20,14
Deae,Afia,-0.017702556033333396,My_20,14
Deae,Chae,-0.01566759073625029,My_20,14
Deae,Beae,-0.992328683764156,My_20,14
Deae,Deae,0.0,My_20,14
Acer,Acer,0.0,My_20,12
Acer,Seum,-0.0011528502061316425,My_20,12
Acer,Meus,0.0021925499659766457,My_20,12
Acer,Raer,0.0011850293147081291,My_20,12
Acer,Boea,-0.00027048964371029324,My_20,12
Acer,Hyum,-0.0015893316996696827,My_20,12
Acer,Meis,-0.0007921348412101876,My_20,12
Acer,Brla,-0.008923010011944017,My_20,12
Acer,Teas,-5.5451787753208864e-05,My_20,12
Acer,Afia,-0.5086769531849313,My_20,12
Acer,Chae,-0.48184036692671384,My_20,12
Acer,Beae,-0.004617836658943416,My_20,12
Acer,Deae,-0.0003421589160469645,My_20,12
Seum,Acer,0.5398298262631693,My_20,12
Seum,Seum,0.0,My_20,12
Seum,Meus,0.71354187042652,My_20,12
Seum,Raer,-0.3390832647231255,My_20,12
Seum,Boea,0.4366226596187319,My_20,12
Seum,Hyum,-0.036392959827994176,My_20,12
Seum,Meis,0.6251739703519879,My_20,12
Seum,Brla,0.9529864542681837,My_20,12
Seum,Teas,-0.9253500921297013,My_20,12
Seum,Afia,0.943622537694071,My_20,12
Seum,Chae,0.34520180108105697,My_20,12
Seum,Beae,0.5423546625047995,My_20,12
Seum,Deae,0.9986605822185892,My_20,12
Meus,Acer,0.00011081237871050722,My_20,12
Meus,Seum,-8.120085630869019e-09,My_20,12
Meus,Meus,0.0,My_20,12
Meus,Raer,-0.0003101520952060253,My_20,12
Meus,Boea,0.00010121062445732798,My_20,12
Meus,Hyum,0.00016661958471514822,My_20,12
Meus,Meis,2.182086290612784e-05,My_20,12
Meus,Brla,6.965504516835453e-09,My_20,12
Meus,Teas,-0.004197889393251243,My_20,12
Meus,Afia,8.483010708305228e-05,My_20,12
Meus,Chae,-2.84241659971321e-06,My_20,12
Meus,Beae,-4.471264538624476e-05,My_20,12
Meus,Deae,0.00017213067472927112,My_20,12
Raer,Acer,0.4597808908542855,My_20,12
Raer,Seum,-0.044690264714147034,My_20,12
Raer,Meus,0.06950583534096419,My_20,12
Raer,Raer,0.0,My_20,12
Raer,Boea,0.09098481395032276,My_20,12
Raer,Hyum,0.19651302077615693,My_20,12
Raer,Meis,0.22785229322408024,My_20,12
Raer,Brla,-0.9982033795386621,My_20,12
Raer,Teas,-0.8039194641365149,My_20,12
Raer,Afia,0.03455123164344608,My_20,12
Raer,Chae,0.539746264819914,My_20,12
Raer,Beae,-0.9965339437207007,My_20,12
Raer,Deae,-0.45771140392555487,My_20,12
Boea,Acer,-0.7491259430676288,My_20,12
Boea,Seum,0.004358945209209853,My_20,12
Boea,Meus,0.0015896039751234472,My_20,12
Boea,Raer,0.004327652758193647,My_20,12
Boea,Boea,0.0,My_20,12
Boea,Hyum,0.005488801179192499,My_20,12
Boea,Meis,0.0025852925811007906,My_20,12
Boea,Brla,0.007569827973401162,My_20,12
Boea,Teas,0.004965972728477443,My_20,12
Boea,Afia,0.015661949954993593,My_20,12
Boea,Chae,0.047814658874690524,My_20,12
Boea,Beae,0.005138549919224662,My_20,12
Boea,Deae,-0.0013605781921602594,My_20,12
Hyum,Acer,-0.9883255671484897,My_20,12
Hyum,Seum,-0.16505797031443256,My_20,12
Hyum,Meus,0.18190577355061593,My_20,12
Hyum,Raer,-0.4391310463232595,My_20,12
Hyum,Boea,0.45047348540767024,My_20,12
Hyum,Hyum,0.0,My_20,12
Hyum,Meis,0.1385845102632362,My_20,12
Hyum,Brla,0.029116696736525092,My_20,12
Hyum,Teas,-0.9201338230234817,My_20,12
Hyum,Afia,-0.9954029594713769,My_20,12
Hyum,Chae,-0.9276316513758404,My_20,12
Hyum,Beae,0.4281201823385109,My_20,12
Hyum,Deae,-0.9325132842185065,My_20,12
Meis,Acer,-0.9975697174588115,My_20,12
Meis,Seum,0.9926991193776129,My_20,12
Meis,Meus,-0.9996623206578276,My_20,12
Meis,Raer,0.9931909439846206,My_20,12
Meis,Boea,-0.9845859051574893,My_20,12
Meis,Hyum,0.7974096635883671,My_20,12
Meis,Meis,0.0,My_20,12
Meis,Brla,-0.9991845877620086,My_20,12
Meis,Teas,0.9950340272715226,My_20,12
Meis,Afia,-0.9910279613273085,My_20,12
Meis,Chae,-0.9879211519983773,My_20,12
Meis,Beae,-0.9991824421677926,My_20,12
Meis,Deae,-0.9792385878986819,My_20,12
Brla,Acer,-0.0002490000223688077,My_20,12
Brla,Seum,-0.0003635947783732236,My_20,12
Brla,Meus,0.0006915156934726452,My_20,12
Brla,Raer,-3.4089227816500306e-07,My_20,12
Brla,Boea,-2.6468107500013087e-05,My_20,12
Brla,Hyum,-2.8887274766889957e-07,My_20,12
Brla,Meis,-1.628128847862309e-07,My_20,12
Brla,Brla,0.0,My_20,12
Brla,Teas,-4.419164002960507e-06,My_20,12
Brla,Afia,-0.2456472984655347,My_20,12
Brla,Chae,-0.2262378443376648,My_20,12
Brla,Beae,-0.4899264143078061,My_20,12
Brla,Deae,-3.580846261049756e-05,My_20,12
Teas,Acer,-0.7978186383180229,My_20,12
Teas,Seum,-0.008952728169327594,My_20,12
Teas,Meus,0.022981993140398192,My_20,12
Teas,Raer,-0.06332149816341393,My_20,12
Teas,Boea,0.02130493119818252,My_20,12
Teas,Hyum,-0.010907872599755052,My_20,12
Teas,Meis,0.004629855434968725,My_20,12
Teas,Brla,0.009797582019249948,My_20,12
Teas,Teas,0.0,My_20,12
Teas,Afia,-0.8480291574516572,My_20,12
Teas,Chae,0.06723727522433867,My_20,12
Teas,Beae,0.021376843627452673,My_20,12
